exponent,min_runtime_old,min_runtime_new
0, 6.09998096479103e-07,3.0999945010989904e-07
1, 7.300004654098302e-07,5.799993232358247e-07
2, 5.799993232358247e-07,8.600000001024455e-07
3, 6.399968697223812e-07,1.1499978427309543e-06
4, 1.010001142276451e-06,1.2399978004395962e-06
5, 7.599992386531085e-07,1.630000042496249e-06
6, 1.0900002962443978e-06,1.5799996617715806e-06
7, 1.1500014807097614e-06,1.9600011000875384e-06
8, 8.899987733457237e-07,1.5799996617715806e-06
9, 9.800023690331727e-07,1.7699967429507524e-06
10, 1.0699986887630075e-06,1.7500024114269763e-06
11, 1.1299998732283711e-06,2.0799998310394585e-06
12, 1.219999830937013e-06,1.7499987734481692e-06
13, 1.2700002116616815e-06,2.0699990272987634e-06
14, 1.3600001693703234e-06,2.040000254055485e-06
15, 1.420001353835687e-06,2.3600005079060793e-06
16, 1.520002115285024e-06,1.7899983504321426e-06
17, 1.5799996617715806e-06,2.1099986042827368e-06
18, 1.6599988157395273e-06,2.119999408023432e-06
19, 1.720000000204891e-06,2.3799984774086624e-06
20, 1.8099999579135329e-06,2.02999945031479e-06
21, 1.8800019461195916e-06,2.3600005079060793e-06
22, 1.9500002963468432e-06,2.340002538403496e-06
23, 2.019998646574095e-06,2.6699999580159783e-06
24, 2.0999978005420417e-06,2.02999945031479e-06
25, 2.1900013962294906e-06,2.349999704165384e-06
26, 2.249998942716047e-06,2.349999704165384e-06
27, 2.310000127181411e-06,3.0799965315964073e-06
28, 2.3800021153874695e-06,2.310000127181411e-06
29, 2.4999972083605826e-06,2.639997546793893e-06
30, 2.5709996407385916e-06,2.6710004021879286e-06
31, 2.61999957729131e-06,3.2710013329051435e-06
32, 2.7000023692380637e-06,2.1089981601107866e-06
33, 3.6710007407236844e-06,2.7000023692380637e-06
34, 3.711000317707658e-06,2.720000338740647e-06
35, 3.869001375278458e-06,3.110999386990443e-06
36, 3.96000177715905e-06,2.7889982447959483e-06
37, 4.1289968066848814e-06,3.0510018405038863e-06
38, 4.360001184977591e-06,3.1999989005271345e-06
39, 4.359997546998784e-06,3.460001607891172e-06
40, 4.64899858343415e-06,2.831002348102629e-06
41, 4.5909982873126864e-06,3.0199989851098508e-06
42, 4.7000030463095754e-06,3.1199997465591878e-06
43, 4.870002157986164e-06,3.5709999792743474e-06
44, 4.959998477715999e-06,3.1800009310245514e-06
45, 4.779998562298715e-06,3.4100012271665037e-06
46, 4.899997293250635e-06,3.4799995773937553e-06
47, 5.059999239165336e-06,3.830002242466435e-06
48, 5.240002792561427e-06,2.6699999580159783e-06
49, 5.35999788553454e-06,3.1099989428184927e-06
50, 5.570000212173909e-06,3.0900009733159095e-06
51, 5.699999746866524e-06,3.649998689070344e-06
52, 5.590001819655299e-06,2.9900002118665725e-06
53, 5.699999746866524e-06,3.429999196669087e-06
54, 5.800000508315861e-06,3.5099983506370336e-06
55, 6.059999577701092e-06,3.7800018617417663e-06
56, 6.22999868937768e-06,2.9799994081258774e-06
57, 6.199999916134402e-06,3.46999877365306e-06
58, 6.449998181778938e-06,3.569999535102397e-06
59, 6.729998858645558e-06,3.899996954714879e-06
60, 6.719998054904863e-06,3.529999958118424e-06
61, 6.769998435629532e-06,3.96000177715905e-06
62, 6.869999197078869e-06,4.3100008042529225e-06
63, 6.950001989025623e-06,4.370001988718286e-06
64, 5.049998435424641e-06,2.830001903930679e-06
65, 5.2199975471012294e-06,3.1700001272838563e-06
66, 5.3199983085505664e-06,3.1199997465591878e-06
67, 5.410001904238015e-06,3.130000550299883e-06
68, 5.409998266259208e-06,3.1600029615219682e-06
69, 5.469999450724572e-06,3.129996912321076e-06
70, 5.649999366141856e-06,3.1099989428184927e-06
71, 5.660000169882551e-06,3.44999716617167e-06
72, 5.699999746866524e-06,2.7799978852272034e-06
73, 5.8299992815591395e-06,3.139997716061771e-06
74, 5.909998435527086e-06,3.1199997465591878e-06
75, 6.000002031214535e-06,3.7899990275036544e-06
76, 6.260001100599766e-06,3.1100025807972997e-06
77, 7.919999916339293e-06,3.889999788952991e-06
78, 8.47100091050379e-06,3.94000016967766e-06
79, 8.409002475673333e-06,4.348999937064946e-06
80, 6.359998224070296e-06,2.7509995561558753e-06
81, 6.471000233432278e-06,3.0600022000726312e-06
82, 6.510999810416251e-06,3.0800001695752144e-06
83, 6.619997293455526e-06,3.4200020309071988e-06
84, 6.670998118352145e-06,3.0800001695752144e-06
85, 6.8199988163542e-06,3.4290023904759437e-06
86, 6.850998033769429e-06,3.4199983929283917e-06
87, 6.9499983510468155e-06,3.760000254260376e-06
88, 6.959999154787511e-06,3.0899973353371024e-06
89, 7.099999493220821e-06,3.3799988159444183e-06
90, 7.139999070204794e-06,3.4199983929283917e-06
91, 7.279999408638105e-06,3.7200006772764027e-06
92, 7.329999789362773e-06,3.4000004234258085e-06
93, 7.40999894333072e-06,3.750003088498488e-06
94, 7.4499985203146935e-06,3.760000254260376e-06
95, 7.580001692986116e-06,4.069999704370275e-06
96, 7.68999962019734e-06,2.7899986889678985e-06
97, 7.779999577905983e-06,3.129996912321076e-06
98, 7.850001566112041e-06,3.1099989428184927e-06
99, 8.009999874047935e-06,3.440000000409782e-06
100, 8.170001819962636e-06,3.0999981390777975e-06
101, 8.150000212481245e-06,3.44999716617167e-06
102, 8.189999789465219e-06,3.429999196669087e-06
103, 8.27999974717386e-06,3.7899990275036544e-06
104, 8.369999704882503e-06,3.5799967008642852e-06
105, 8.409999281866476e-06,3.450000804150477e-06
106, 8.520000847056508e-06,3.429999196669087e-06
107, 8.629998774267733e-06,3.7800018617417663e-06
108, 8.830000297166407e-06,3.429999196669087e-06
109, 8.839997462928295e-06,3.760000254260376e-06
110, 8.930001058615744e-06,3.749999450519681e-06
111, 9.030001820065081e-06,4.110002919333056e-06
112, 9.139999747276306e-06,3.0800001695752144e-06
113, 9.20000093174167e-06,3.4199983929283917e-06
114, 9.290000889450312e-06,3.3999967854470015e-06
115, 9.309998858952895e-06,3.739998646778986e-06
116, 9.449999197386205e-06,3.3899996196851134e-06
117, 9.510997188044712e-06,3.7299978430382907e-06
118, 9.631003194954246e-06,3.731001925189048e-06
119, 9.679999493528157e-06,4.05999890062958e-06
120, 1.2951000826433301e-05,3.4199983929283917e-06
121, 1.1359999916749075e-05,4.379999154480174e-06
122, 9.968996891984716e-06,3.760000254260376e-06
123, 1.0079998901346698e-05,4.109002475161105e-06
124, 1.0159998055314645e-05,3.749999450519681e-06
125, 1.0350002412451431e-05,4.1099992813542485e-06
126, 1.0230000043520704e-05,4.08000050811097e-06
127, 1.0179999662796035e-05,4.429999535204843e-06
128, 1.0440002370160073e-05,2.8600006771739572e-06
129, 1.035999957821332e-05,3.1999989005271345e-06
130, 1.049999991664663e-05,3.1999989005271345e-06
131, 1.0569998266873881e-05,3.520002792356536e-06
132, 1.1050000466639176e-05,3.2200005080085248e-06
133, 1.0749998182291165e-05,3.550001565599814e-06
134, 1.0740001016529277e-05,4.110002919333056e-06
135, 1.087999771698378e-05,4.5199994929134846e-06
136, 1.0960000508930534e-05,3.1900017347652465e-06
137, 1.1060001270379871e-05,3.529999958118424e-06
138, 1.1119998816866428e-05,3.549997927621007e-06
139, 1.2099997547920793e-05,3.929999365936965e-06
140, 1.472000076319091e-05,4.130000888835639e-06
141, 1.1519998224684969e-05,3.889999788952991e-06
142, 1.1529999028425664e-05,3.879998985212296e-06
143, 1.1540003470145166e-05,4.230001650284976e-06
144, 1.1699998140102252e-05,3.2099997042678297e-06
145, 1.1690000974340364e-05,3.560002369340509e-06
146, 1.1849999282276258e-05,3.569999535102397e-06
147, 1.1860000086016953e-05,3.850000211969018e-06
148, 1.19399992399849e-05,3.540000761859119e-06
149, 1.2040000001434237e-05,3.910001396434382e-06
150, 1.2259999493835494e-05,3.91999856219627e-06
151, 1.233999864780344e-05,4.220000846544281e-06
152, 1.2469998182496056e-05,3.5800003388430923e-06
153, 1.2440003047231585e-05,3.889999788952991e-06
154, 1.2460001016734168e-05,3.889999788952991e-06
155, 1.2589996913447976e-05,4.260000423528254e-06
156, 1.2680000509135425e-05,3.910001396434382e-06
157, 1.283000165130943e-05,4.260000423528254e-06
158, 1.2889999197795987e-05,4.260000423528254e-06
159, 1.2910000805277377e-05,4.569999873638153e-06
160, 1.311999949393794e-05,3.1800009310245514e-06
161, 1.325999983237125e-05,3.549997927621007e-06
162, 1.3220000255387276e-05,3.5199991543777287e-06
163, 1.3339998986339197e-05,3.868997737299651e-06
164, 1.3430999388219789e-05,3.540000761859119e-06
165, 1.3409000530373305e-05,3.879998985212296e-06
166, 1.3668999599758536e-05,3.869001375278458e-06
167, 1.3920001947553828e-05,4.8910005716606975e-06
168, 1.9389997760299593e-05,4.170000465819612e-06
169, 1.908999911393039e-05,4.399997123982757e-06
170, 1.9729999621631578e-05,4.279998393030837e-06
171, 2.1039999410277233e-05,5.031000910094008e-06
172, 1.9940001948270947e-05,4.489000275498256e-06
173, 1.9739996787393466e-05,5.211000825511292e-06
174, 1.991999670281075e-05,5.199999577598646e-06
175, 1.97000008483883e-05,5.170000804355368e-06
176, 1.9859999156324193e-05,4.19999923906289e-06
177, 2.0670002413680777e-05,4.9100017349701375e-06
178, 1.95399989024736e-05,4.720001015812159e-06
179, 2.0489998860284686e-05,4.9199989007320255e-06
180, 2.043000131379813e-05,4.799996531801298e-06
181, 2.064999716822058e-05,5.009998858440667e-06
182, 2.1600000764010474e-05,5.1200004236306995e-06
183, 2.1710002329200506e-05,5.680001777363941e-06
184, 2.2040003386791795e-05,4.830002581002191e-06
185, 2.0439998479560018e-05,5.3199983085505664e-06
186, 2.1210002159932628e-05,5.570000212173909e-06
187, 2.210999809904024e-05,5.309997504809871e-06
188, 2.1200001356191933e-05,5.200003215577453e-06
189, 2.1749998268205673e-05,5.459998646983877e-06
190, 2.1699997887481004e-05,5.649999366141856e-06
191, 2.212999970652163e-05,6.099999154685065e-06
192, 2.314000084879808e-05,4.120000085094944e-06
193, 2.3309003154281527e-05,4.499997885432094e-06
194, 2.2709002223564312e-05,4.5289998524822295e-06
195, 2.3350999981630594e-05,4.78899892186746e-06
196, 2.302000211784616e-05,4.610999894794077e-06
197, 2.1660001948475838e-05,4.968998837284744e-06
198, 2.3930999304866418e-05,4.888999683316797e-06
199, 2.350000067963265e-05,5.2489995141513646e-06
200, 2.4400000256719068e-05,4.559999069897458e-06
201, 2.3299999156733975e-05,4.970999725628644e-06
202, 2.2820000594947487e-05,4.759996954817325e-06
203, 2.2599997464567423e-05,5.099998816149309e-06
204, 2.3790002160239965e-05,4.569999873638153e-06
205, 2.246000076411292e-05,5.37999949301593e-06
206, 2.4590000975877047e-05,5.270001565804705e-06
207, 2.4810000468278304e-05,5.740002961829305e-06
208, 2.505999873392284e-05,4.5099986891727895e-06
209, 2.4529999791411683e-05,4.890000127488747e-06
210, 2.4590000975877047e-05,4.7100002120714635e-06
211, 2.2820000594947487e-05,4.880002961726859e-06
212, 2.359000063734129e-05,4.69000224256888e-06
213, 2.441999822622165e-05,5.060002877144143e-06
214, 2.3880002117948607e-05,4.940000508213416e-06
215, 2.4379998649237677e-05,5.369001883082092e-06
216, 2.385999687248841e-05,4.559999069897458e-06
217, 2.449000021442771e-05,5.059999239165336e-06
218, 2.474999928381294e-05,5.059999239165336e-06
219, 2.4310000299010426e-05,5.399997462518513e-06
220, 2.4950000806711614e-05,5.059999239165336e-06
221, 2.4569999368395656e-05,5.4299998737405986e-06
222, 2.489999678800814e-05,5.470003088703379e-06
223, 2.500999835319817e-05,5.8200021157972515e-06
224, 2.5609999283915386e-05,4.2000028770416975e-06
225, 2.578999919933267e-05,4.650002665584907e-06
226, 2.6390000130049884e-05,4.640001861844212e-06
227, 2.6290003006579354e-05,5.099998816149309e-06
